description,category
Gas refill,Transport
Theater play,Entertainment
Vitamins buy,Health
Phone recharge,Bills
Massage therapy,Health
New laptop,Shopping
Eye checkup - monthly,Health
Jewelry purchase - annual,Shopping
Spotify premium,Entertainment
Food delivery,Food
Gas refill - annual,Transport
Dental cleaning,Health
Ph@rm@cy purch@s3,Health
Pharmacy purchase,Health
N3w l@ptop,Shopping
Coffee at Starbucks,Food
Cinema snacks - one-time,Entertainment
Coffee at Starbucks,Food
Gas refill,Transport
Concert pass,Entertainment
Lunch at cafe,Food
Amazon order,Shopping
Car maintenance,Transport
Electronics store,Shopping
Perfume buy,Shopping
Dental cleaning,Health
Bought groceries,Food
House rent,Bills
Car parking fee,Transport
Eye checkup,Health
Internet payment,Bills
Fuel station purchase,Transport
G@s bill,Bills
Cinema snacks,Entertainment
Doctor visit,Health
Museum entry - one-time,Entertainment
Dinner at pizza place,Food
Massage therapy,Health
Phone recharge,Bills
Taxi fare - annual,Transport
Flight booking,Transport
Cinema snacks,Entertainment
Gas bill,Bills
Fuel station purchase - annual,Transport
Internet payment,Bills
Medical test,Health
Cr3dit c@rd p@ym3nt,Bills
Movie ticket,Entertainment
Doctor visit,Health
Insurance premium - weekly,Bills
Netflix subscription,Entertainment
Concert pass - one-time,Entertainment
Loan installment,Bills
Theater play,Entertainment
Clothes purchase,Shopping
Internet payment,Bills
Water bill,Bills
Bakery snacks,Food
House rent,Bills
Takeout meal,Food
Lunch at cafe,Food
Internet payment,Bills
N3tflix subscription,Entertainment
Online shopping - annual,Shopping
Jewelry purchase,Shopping
Skin care products - monthly,Health
Takeout meal,Food
Pharmacy purchase,Health
Pharmacy purchase,Health
Dinner at pizza place,Food
Medical test,Health
Bakery snacks,Food
M@ss@g3 th3r@py,Health
Metro pass - one-time,Transport
Online shopping,Shopping
Credit card payment,Bills
Movie ticket,Entertainment
Eye checkup,Health
Cinema snacks - monthly,Entertainment
Supermarket purchase - monthly,Food
Medical test,Health
Metro pass,Transport
Takeout meal,Food
Gas bill,Bills
Credit card payment,Bills
Gas bill,Bills
Perfume buy,Shopping
Jewelry purchase,Shopping
Electronics store,Shopping
Flight booking,Transport
Gas refill,Transport
Car parking fee - monthly,Transport
New phone,Shopping
Flight booking,Transport
Video game purchase,Entertainment
Eye checkup,Health
Dental cleaning,Health
Clothes purchase,Shopping
Online course,Entertainment
Ice cream treat - one-time,Food
Makeup items - weekly,Shopping
Metro pass - one-time,Transport
Ice cream treat,Food
Grocery shopping,Food
Video game purchase,Entertainment
Makeup items,Shopping
Shoe store payment,Shopping
Massage therapy,Health
Skin care products - weekly,Health
Spotify premium,Entertainment
Museum entry,Entertainment
Lunch at cafe,Food
Lunch at cafe,Food
Medical test - weekly,Health
Am@zon ord3r - @nnu@l,Shopping
Internet payment,Bills
Dinner at pizza place - weekly,Food
Medical test,Health
Supermarket purchase - weekly,Food
Gas bill,Bills
M3tro p@ss,Transport
Loan installment,Bills
Bought groceries,Food
Cinema snacks,Entertainment
Pharmacy purchase,Health
Bus ticket - annual,Transport
Cinema snacks - monthly,Entertainment
M@k3up it3ms - w33kly,Shopping
Bakery snacks - weekly,Food
Dinner at pizza place,Food
Dental cleaning,Health
New phone - weekly,Shopping
Concert pass,Entertainment
Fuel station purchase - monthly,Transport
Jewelry purchase,Shopping
Video game purchase,Entertainment
Perfume buy,Shopping
Dental cleaning - monthly,Health
TV subscription,Bills
Takeout meal - monthly,Food
Electronics store - annual,Shopping
Shoe store payment,Shopping
Water bill,Bills
Bus ticket,Transport
Gym membership,Health
Electricity bill,Bills
Eye checkup,Health
Bus ticket,Transport
C@r m@int3n@nc3,Transport
Food delivery,Food
Museum entry,Entertainment
Online course - weekly,Entertainment
Uber ride,Transport
Electricity bill,Bills
New phone,Shopping
Bus ticket,Transport
Flight booking - annual,Transport
Makeup items - monthly,Shopping
Online shopping,Shopping
Spotify premium - annual,Entertainment
TV subscription - one-time,Bills
Skin care products - monthly,Health
Electricity bill - one-time,Bills
Mus3um 3ntry,Entertainment
Hospital fee,Health
Eye checkup,Health
W@t3r bill,Bills
Theater play - monthly,Entertainment
C@r m@int3n@nc3,Transport
Sho3 stor3 p@ym3nt,Shopping
Theater play,Entertainment
Online course,Entertainment
Food d3liv3ry - w33kly,Food
Car maintenance,Transport
Spotify premium - one-time,Entertainment
Cinema snacks,Entertainment
Flight booking - weekly,Transport
Ice cream treat,Food
G@s bill,Bills
Cinema snacks,Entertainment
Ice cream treat,Food
Supermarket purchase - annual,Food
Flight booking,Transport
Amazon order - weekly,Shopping
Takeout meal,Food
Shoe store payment,Shopping
Eye checkup - weekly,Health
Car parking fee,Transport
Netflix subscription - annual,Entertainment
Amusement park ticket,Entertainment
Phone recharge - monthly,Bills
Grocery shopping,Food
Electricity bill - weekly,Bills
Bought groceries,Food
Uber ride,Transport
Pharmacy purchase,Health
J3w3lry purch@s3,Shopping
Bus ticket,Transport
Clothes purchase,Shopping
Takeout meal,Food
Uber ride - weekly,Transport
Movie ticket,Entertainment
Water bill,Bills
Doctor visit,Health
Coff33 @t St@rbucks,Food
Eye checkup - annual,Health
Perfume buy,Shopping
Theater play - weekly,Entertainment
Insurance premium,Bills
Pharmacy purchase - one-time,Health
Insurance premium,Bills
El3ctricity bill - w33kly,Bills
Bus ticket - one-time,Transport
Jewelry purchase,Shopping
Lo@n inst@llm3nt,Bills
Eye checkup - monthly,Health
Internet payment - one-time,Bills
Concert pass - one-time,Entertainment
Movie ticket - monthly,Entertainment
Perfume buy,Shopping
Concert pass,Entertainment
Doctor visit,Health
New laptop,Shopping
Takeout meal - one-time,Food
Takeout meal,Food
Skin care products - weekly,Health
TV subscription,Bills
Pharmacy purchase - weekly,Health
Supermarket purchase - weekly,Food
Car maintenance - annual,Transport
Uber ride,Transport
Train ticket,Transport
Train ticket,Transport
Water bill,Bills
Museum entry,Entertainment
Food delivery,Food
Food delivery,Food
Skin care products - weekly,Health
Jewelry purchase,Shopping
Insurance premium,Bills
Supermarket purchase,Food
Vitamins buy,Health
Shoe store payment,Shopping
J3w3lry purch@s3 - on3-tim3,Shopping
Dinner at pizza place,Food
Bus ticket - monthly,Transport
Hous3 r3nt,Bills
N3w l@ptop,Shopping
Food delivery,Food
Fuel station purchase,Transport
New laptop - weekly,Shopping
Internet payment,Bills
Fu3l st@tion purch@s3 - monthly,Transport
Dental cleaning,Health
Ice cream treat,Food
Insurance premium,Bills
Concert pass,Entertainment
Food delivery,Food
Grocery shopping,Food
TV subscription,Bills
Medical test,Health
Makeup items,Shopping
Electricity bill - annual,Bills
El3ctronics stor3,Shopping
Clothes purchase,Shopping
Pharmacy purchase - one-time,Health
Car maintenance,Transport
Flight booking,Transport
Car maintenance - monthly,Transport
Coffee at Starbucks,Food
Uber ride,Transport
Car maintenance,Transport
Car parking fee - annual,Transport
Water bill - one-time,Bills
Water bill,Bills
Perfume buy,Shopping
Gas bill,Bills
Makeup items,Shopping
Netflix subscription - monthly,Entertainment
Museum entry,Entertainment
Hospit@l f33 - w33kly,Health
Medical test,Health
Phone recharge - weekly,Bills
Amusement park ticket - monthly,Entertainment
Takeout meal - monthly,Food
Movie ticket,Entertainment
Credit card payment,Bills
N3w phon3 - on3-tim3,Shopping
Concert pass - annual,Entertainment
Movie ticket - annual,Entertainment
Eye checkup,Health
Movie ticket,Entertainment
Car maintenance,Transport
Ice cream treat,Food
Online shopping,Shopping
Concert pass,Entertainment
Food delivery - monthly,Food
Uber ride,Transport
Metro pass - one-time,Transport
New laptop,Shopping
